nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000136	Johnny Depp	1963	\N	['actor', 'producer', 'soundtrack']	['tt0325980', 'tt0408236', 'tt0449088', 'tt0367594']
nm0000465	Ron Jeremy	1953	\N	['actor', 'director', 'writer']	['tt0144117', 'tt0124819', 'tt0165710', 'tt0120577']
nm0000816	Jon Avnet	1949	\N	['producer', 'director', 'writer']	['tt0086200', 'tt0101921', 'tt0118055', 'tt0947798']
nm0002042	Charles Dickens	1812	1870	['writer', 'soundtrack', 'miscellaneous']	['tt0096061', 'tt0095776', 'tt0063385', 'tt0119223']
nm0002133	Ernest Hemingway	1899	1961	['writer', 'actor']	['tt0037382', 'tt0058262', 'tt0035896', 'tt0038669']
nm0002973	Lev L. Spiro	\N	\N	['director', 'sound_department', 'actor']	['tt2372162', 'tt1442437', 'tt14825736', 'tt1369845']
nm0002991	Jill Robertson	\N	\N	['director', 'producer', 'miscellaneous']	['tt13430420', 'tt4122068', 'tt0117951', 'tt5761478']
nm0003306	Jeff Freilich	\N	\N	['producer', 'writer', 'music_department']	['tt9810248', 'tt3609352', 'tt2543312', 'tt6128254']
nm0003763	Sharron Miller	\N	\N	['director', 'sound_department', 'editor']	['tt0176357', 'tt0136671', 'tt0202179', 'tt0083395']
nm0004068	Suju Vijayan	\N	\N	['producer', 'director', 'writer']	['tt2040562', 'tt0896232', 'tt0117070', 'tt0412517']
nm0005277	Conan O'Brien	1963	\N	['writer', 'music_department', 'producer']	['tt4116284', 'tt1637574', 'tt0106052', 'tt1670345']
nm0005596	Jonathan Bourne	1971	\N	['producer', 'writer', 'miscellaneous']	['tt0281521', 'tt0118515', 'tt1402219', 'tt1166919']
nm0006493	William Brookfield	\N	\N	['writer', 'director', 'producer']	['tt0160534', 'tt6195756', 'tt2917388', 'tt0286594']
nm0006670	Paul F. Tompkins	1968	\N	['actor', 'writer', 'producer']	['tt0398286', 'tt0365830', 'tt0469494', 'tt3398228']
nm0006753	Michael Zens	1953	\N	['director', 'assistant_director', 'camera_department']	['tt7357114', 'tt0111183', 'tt0295620', 'tt0251523']
nm0006938	Leonardo Fasoli	\N	\N	['writer', 'producer', 'assistant_director']	['tt9048786', 'tt2049116', 'tt8332438', 'tt5560712']
nm0007186	Arthur Miller	1915	2005	['writer', 'actor']	['tt0055184', 'tt0081344', 'tt0187806', 'tt0115988']
nm0010799	Buck Adams	1955	2008	['actor', 'director', 'writer']	['tt0114792', 'tt0144516', 'tt0097039', 'tt0189968']
nm0014059	Leopold Ahlsen	1927	2018	['writer']	['tt0171349', 'tt0053589', 'tt0154064', 'tt0051334']
nm0014765	Boris Airapetyan	1955	\N	['director', 'writer', 'editor']	['tt0108427', 'tt0322250', 'tt0240073']
nm0016437	Chris Albers	\N	\N	['writer', 'music_department', 'actor']	['tt1736341', 'tt0899126', 'tt0108897', 'tt0106052']
nm0016667	Rafael Alberti	1902	1999	['soundtrack', 'writer', 'actor']	['tt0415421', 'tt0037629', 'tt0187086', 'tt0255874']
nm0018389	E. Nick Alexander	\N	\N	['writer', 'miscellaneous', 'producer']	['tt0086734', 'tt0078622', 'tt0082838', 'tt0083437']
nm0018790	Vanessa Alexander	\N	\N	['writer', 'producer', 'director']	['tt5841196', 'tt2235759', 'tt11311302', 'tt4607112']
nm0021281	Stefano Alleva	\N	\N	['director', 'assistant_director', 'production_manager']	['tt0297569', 'tt0319344', 'tt0946589', 'tt5735958']
