tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0006471	movie	The Broken Melody	The Broken Melody	0	1916	\N	\N	['Drama', 'Romance']
tt0010712	movie	Snow in the Desert	Snow in the Desert	0	1919	\N	\N	['Drama', 'Romance']
tt0012631	movie	Souls on the Road	Rojô no reikion	0	1921	\N	91	['Drama']
tt0012971	movie	Brawn of the North	Brawn of the North	0	1922	\N	\N	['Family']
tt0014146	movie	Crown of Thorns	I.N.R.I.	0	1923	\N	102	['Drama']
tt0015801	movie	The Living Dead Man	Feu Mathias Pascal	0	1926	\N	170	['Comedy', 'Drama', 'Romance']
tt0016847	movie	Faust	Faust: Eine deutsche Volkssage	0	1926	\N	107	['Drama', 'Fantasy', 'Horror']
tt0017186	movie	My Old Dutch	My Old Dutch	0	1926	\N	82	['Drama', 'Romance']
tt0018013	movie	Die Hose	Die Hose	0	1927	\N	\N	['Comedy']
tt0019178	movie	Moral	Moral	0	1928	\N	\N	['\\N']
tt0020054	movie	Katharina Knie	Katharina Knie	0	1929	\N	\N	['\\N']
tt0020081	movie	The Last of Mrs. Cheyney	The Last of Mrs. Cheyney	0	1929	\N	94	['Comedy', 'Drama']
tt0020124	movie	Ludwig der Zweite, König von Bayern	Ludwig der Zweite, König von Bayern	0	1930	\N	117	['Biography', 'Drama', 'History']
tt0020821	movie	The Devil to Pay!	The Devil to Pay!	0	1930	\N	72	['Comedy', 'Romance']
tt0021015	movie	Juno and the Paycock	Juno and the Paycock	0	1929	\N	85	['Comedy', 'Drama']
tt0021042	movie	The Lady of Scandal	The Lady of Scandal	0	1930	\N	76	['Comedy', 'Drama', 'Romance']
tt0021193	movie	Nur Du	Nur Du	0	1930	\N	85	['Musical']
tt0021816	movie	Der Draufgänger	Der Draufgänger	0	1931	\N	92	['Crime', 'Drama', 'Romance']
tt0024066	movie	Bon Voyage	Glückliche Reise	0	1933	\N	83	['Comedy', 'Musical', 'Romance']
tt0024999	movie	Heart of a Bandit	Corazón bandolero	0	1934	\N	120	['Adventure', 'Romance']
tt0025472	movie	Marie Galante	Marie Galante	0	1934	\N	88	['Drama', 'Romance', 'Thriller']
tt0025556	movie	Napoléon Bonaparte	Napoléon Bonaparte	0	1935	\N	140	['Biography', 'Drama']
tt0025748	movie	The Scarlet Pimpernel	The Scarlet Pimpernel	0	1934	\N	97	['Adventure', 'Drama']
tt0026330	movie	The Trip to Youth	Die Fahrt in die Jugend	0	1935	\N	\N	['\\N']
tt0027285	movie	The Amateur Gentleman	The Amateur Gentleman	0	1936	\N	102	['Adventure']
tt0027336	movie	The Lower Depths	Les bas-fonds	0	1936	\N	95	['Crime', 'Drama', 'Romance']
tt0027451	movie	Club de femmes	Club de femmes	0	1936	\N	106	['Comedy', 'Crime', 'Drama']
tt0027922	movie	But It's Nothing Serious	Ma non è una cosa seria	0	1936	\N	79	['Comedy', 'Romance']
tt0028112	movie	The Plough and the Stars	The Plough and the Stars	0	1936	\N	72	['Drama']
tt0029120	movie	The Last of Mrs. Cheyney	The Last of Mrs. Cheyney	0	1937	\N	98	['Comedy', 'Drama', 'Romance']
tt0029279	movie	Model Husband	Der Mustergatte	0	1937	\N	95	['Comedy', 'Romance']
tt0029583	movie	Snow White and the Seven Dwarfs	Snow White and the Seven Dwarfs	0	1937	\N	83	['Adventure', 'Animation', 'Family']
tt0030746	movie	Sidewalks of London	St. Martin's Lane	0	1938	\N	85	['Comedy']
tt0031053	movie	Der arme Millionär	Der arme Millionär	0	1939	\N	89	['Comedy']
tt0031144	movie	Love Cavalcade	Cavalcade d'amour	0	1939	\N	100	['Drama', 'History', 'Romance']
tt0032455	movie	Fantasia	Fantasia	0	1940	\N	125	['Animation', 'Family', 'Fantasy']
tt0032910	movie	Pinocchio	Pinocchio	0	1940	\N	88	['Adventure', 'Animation', 'Comedy']
tt0033563	movie	Dumbo	Dumbo	0	1941	\N	64	['Adventure', 'Animation', 'Drama']
tt0033750	movie	I accuse	Ich klage an	0	1941	\N	125	['Drama']
tt0034473	movie	Army Surgeon	Army Surgeon	0	1942	\N	63	['Drama', 'Romance', 'War']
tt0034817	movie	The Big Shadow	Der große Schatten	0	1942	\N	95	['Drama']
tt0034856	movie	Hitler's Children	Hitler's Children	0	1943	\N	82	['Drama', 'Romance', 'War']
tt0035896	movie	For Whom the Bell Tolls	For Whom the Bell Tolls	0	1943	\N	170	['Adventure', 'Drama', 'History']
tt0037325	movie	Summer Storm	Summer Storm	0	1944	\N	106	['Crime', 'Drama', 'Film-Noir']
tt0037382	movie	To Have and Have Not	To Have and Have Not	0	1944	\N	100	['Adventure', 'Comedy', 'Film-Noir']
tt0037629	movie	The Ghost Lady	La dama duende	0	1945	\N	101	['Drama', 'Romance']
tt0037630	movie	Les Dames du Bois de Boulogne	Les dames du Bois de Boulogne	0	1945	\N	86	['Drama', 'Romance']
tt0037885	movie	Love Letters	Love Letters	0	1945	\N	101	['Drama', 'Mystery', 'Romance']
tt0037980	movie	Vacation from Marriage	Perfect Strangers	0	1945	\N	102	['Drama', 'Romance']
tt0038669	movie	The Killers	The Killers	0	1946	\N	103	['Crime', 'Drama', 'Film-Noir']
tt0038718	movie	Make Mine Music	Make Mine Music	0	1946	\N	75	['Adventure', 'Animation', 'Comedy']
tt0039404	movie	Fun and Fancy Free	Fun & Fancy Free	0	1947	\N	73	['Adventure', 'Animation', 'Comedy']
tt0039512	movie	Les jeux sont faits	Les jeux sont faits	0	1947	\N	105	['Drama', 'Fantasy']
tt0040051	tvSeries	Studio One	Studio One	0	1948	1958	60	['Drama']
tt0040705	movie	Portrait of Jennie	Portrait of Jennie	0	1948	\N	86	['Drama', 'Fantasy', 'Mystery']
tt0041209	movie	Bride of Vengeance	Bride of Vengeance	0	1949	\N	92	['Adventure', 'Drama', 'History']
tt0041373	movie	Flamingo Road	Flamingo Road	0	1949	\N	94	['Drama', 'Film-Noir', 'Romance']
tt0042100	tvSeries	Dick Tracy	Dick Tracy	0	1950	1952	30	['Drama']
tt0042332	movie	Cinderella	Cinderella	0	1950	\N	74	['Animation', 'Family', 'Fantasy']
tt0042543	movie	Harbor of Missing Men	Harbor of Missing Men	0	1950	\N	60	['Action', 'Adventure', 'Crime']
tt0042563	movie	Hochzeit mit Erika	Hochzeit mit Erika	0	1950	\N	88	['Musical', 'Romance']
tt0043274	movie	Alice in Wonderland	Alice in Wonderland	0	1951	\N	75	['Adventure', 'Animation', 'Comedy']
tt0043328	movie	The Axe of Wandsbek	Das Beil von Wandsbek	0	1951	\N	110	['Drama']
tt0043465	movie	Detective Story	Detective Story	0	1951	\N	103	['Crime', 'Drama', 'Film-Noir']
tt0043537	movie	The First Legion	The First Legion	0	1951	\N	86	['Drama']
tt0043594	movie	Golden Salamander	Golden Salamander	0	1950	\N	97	['Adventure', 'Crime', 'Drama']
tt0043628	movie	Heimat, deine Sterne	Heimat, deine Sterne	0	1951	\N	79	['Drama']
tt0044312	movie	1. April 2000	1. April 2000	0	1952	\N	105	['Comedy', 'Fantasy', 'Romance']
tt0044443	movie	The Brave Don't Cry	The Brave Don't Cry	0	1952	\N	89	['Drama']
tt0044544	movie	Daughters of Destiny	Destinées	0	1954	\N	114	['Comedy', 'Drama']
tt0045060	movie	The Respectful Whore	La p... respectueuse	0	1952	\N	75	['Drama']
tt0045263	movie	Tropical Heat Wave	Tropical Heat Wave	0	1952	\N	74	['Comedy', 'Musical']
tt0045449	tvSeries	The United States Steel Hour	The United States Steel Hour	0	1953	1963	60	['Comedy', 'Drama']
tt0046090	movie	Monsoon	Monsoon	0	1952	\N	79	['Drama', 'Romance']
tt0046149	movie	The Proud and the Beautiful	Les orgueilleux	0	1953	\N	103	['Drama', 'Romance']
tt0046183	movie	Peter Pan	Peter Pan	0	1953	\N	77	['Adventure', 'Animation', 'Family']
tt0046502	movie	Vergiß die Liebe nicht	Vergiß die Liebe nicht	0	1953	\N	100	['Comedy', 'Romance']
tt0046507	movie	Der Vetter aus Dingsda	Der Vetter aus Dingsda	0	1953	\N	102	['Comedy']
tt0046593	tvSeries	The Magical World of Disney	Disneyland	0	1954	1997	120	['Adventure', 'Drama', 'Family']
tt0046600	tvSeries	Father Knows Best	Father Knows Best	0	1954	1960	30	['Comedy', 'Family']
tt0046927	movie	Double Jeopardy	Double Jeopardy	0	1955	\N	70	['Action', 'Adventure', 'Crime']
tt0046986	movie	Flying Classroom	Das fliegende Klassenzimmer	0	1954	\N	92	['Comedy', 'Drama', 'Family']
tt0047026	movie	Joan of Arc at the Stake	Giovanna d'Arco al rogo	0	1954	\N	80	['Biography', 'Drama', 'History']
tt0047155	movie	Koncert	Koncert	0	1954	\N	96	['Drama', 'Music', 'War']
tt0047303	movie	Operazione notte	Operazione notte	0	1957	\N	95	['Crime', 'Drama']
tt0047736	tvSeries	Gunsmoke	Gunsmoke	0	1955	1975	60	['Western']
tt0047756	tvSeries	Matinee Theatre	Matinee Theater	0	1955	1958	60	['Drama', 'Horror', 'Mystery']
tt0047790	movie	The Plot to Assassinate Hitler	Der 20. Juli	0	1955	\N	97	['Drama', 'History', 'Thriller']
tt0047925	movie	That Is the Dawn	Cela s'appelle l'aurore	0	1956	\N	102	['Drama']
tt0047956	movie	The Court-Martial of Billy Mitchell	The Court-Martial of Billy Mitchell	0	1955	\N	100	['Biography', 'Drama', 'War']
tt0048356	movie	Marty	Marty	0	1955	\N	90	['Drama', 'Romance']
tt0048595	movie	Secret Venture	Secret Venture	0	1955	\N	70	['Drama', 'Mystery', 'Romance']
tt0048657	movie	Stella	Stella	0	1955	\N	90	['Drama', 'Music', 'Romance']
tt0048681	movie	Lo svitato	Lo svitato	0	1956	\N	84	['Comedy']
tt0048882	tvSeries	Lilli Palmer Theatre	Lilli Palmer Theatre	0	1955	1956	30	['Drama']
tt0049288	movie	Teenage Wolfpack	Die Halbstarken	0	1956	\N	97	['Crime', 'Drama', 'Thriller']
tt0049637	movie	Private's Progress	Private's Progress	0	1956	\N	102	['Comedy', 'War']
tt0049766	movie	Skandal um Dr. Vlimmen	Skandal um Dr. Vlimmen	0	1956	\N	99	['Drama']
tt0049966	movie	Written on the Wind	Written on the Wind	0	1956	\N	99	['Drama']
tt0050077	tvSeries	Whirlybirds	Whirlybirds	0	1957	1960	30	['Adventure']
tt0050083	movie	12 Angry Men	12 Angry Men	0	1957	\N	96	['Crime', 'Drama']
tt0050375	movie	A Bomb for a Dictator	Les fanatiques	0	1957	\N	90	['Drama', 'Thriller']
tt0050507	movie	High Tide at Noon	High Tide at Noon	0	1957	\N	109	['Drama', 'Romance']
tt0050536	tvMovie	Illusionen	Illusionen	0	1957	\N	82	['\\N']
tt0050617	movie	Königin Luise	Königin Luise	0	1957	\N	100	['Drama']
tt0050715	movie	Mit Rosen fängt die Liebe an	Mit Rosen fängt die Liebe an	0	1957	\N	88	['Drama', 'Music', 'Romance']
tt0050825	movie	Paths of Glory	Paths of Glory	0	1957	\N	88	['Drama', 'War']
tt0050997	movie	The Crucible	Les sorcières de Salem	0	1957	\N	145	['Drama', 'History']
tt0051000	movie	It Happened in Rome	Souvenir d'Italie	0	1957	\N	100	['Comedy', 'Romance']
tt0051301	tvSeries	Peter Gunn	Peter Gunn	0	1958	1961	30	['Action', 'Crime', 'Drama']
tt0051333	movie	...und abends in die Scala	...und abends in die Scala	0	1958	\N	94	['Musical', 'Romance']
tt0051334	movie	...und nichts als die Wahrheit	...und nichts als die Wahrheit	0	1958	\N	97	['Crime']
tt0051411	movie	The Big Country	The Big Country	0	1958	\N	166	['Romance', 'Western']
tt0051712	movie	Arms and the Man	Helden	0	1958	\N	100	['Comedy', 'Romance']
tt0051900	movie	Man on the Prowl	Man on the Prowl	0	1957	\N	86	['Crime', 'Drama', 'Film-Noir']
tt0051918	movie	Meine 99 Bräute	Meine 99 Bräute	0	1958	\N	86	['Romance']
tt0051963	movie	Rosemary	Das Mädchen Rosemarie	0	1958	\N	105	['Drama']
tt0051964	movie	Mädchen in Uniform	Mädchen in Uniform	0	1958	\N	95	['Drama']
tt0052136	movie	Riff Raff Girls	Du rififi chez les femmes	0	1959	\N	110	['Action', 'Crime', 'Drama']
