tconst	directors	writers
tt0050536	['nm0928929']	['nm0928929']
tt0056535	['nm0510245']	['nm0583450']
tt0061857	['nm0351746']	['nm0133375', 'nm1283207', 'nm1283208']
tt0075583	['nm3869420', 'nm0219663', 'nm1236900', 'nm3052438', 'nm11045919', 'nm5083670', 'nm6190666', 'nm0325899']	['nm0001170', 'nm0803021']
tt0094460	['nm0107757', 'nm0022750', 'nm0271573']	['\\N']
tt0099731	['nm0772522']	['nm0041194', 'nm0056217']
tt0101188	['nm0447700', 'nm0119476', 'nm0068034', 'nm0841319', 'nm0240548', 'nm0448599', 'nm1328549', 'nm0058799', 'nm0899329', 'nm1228091', 'nm0450630', 'nm0589636', 'nm0284896', 'nm0550578', 'nm0585086', 'nm0314480', 'nm0811973', 'nm0693933', 'nm0900790', 'nm0612033', 'nm0720383', 'nm2001171', 'nm0779307', 'nm0842415', 'nm3012092', 'nm0895648', 'nm0779391', 'nm0188192', 'nm0569814', 'nm0379320', 'nm0161285', 'nm0468335', 'nm0392146', 'nm0036776', 'nm0728317', 'nm0539782', 'nm0860014', 'nm0297369', 'nm0616261', 'nm0109933', 'nm0601901', 'nm0484037', 'nm0048519', 'nm1094375']	['nm6806394', 'nm6806393', 'nm0672654', 'nm6806501', 'nm1059729', 'nm2837301', 'nm6187966', 'nm6812455', 'nm0267660', 'nm0281830', 'nm2841768', 'nm0358976', 'nm0539077', 'nm1931379', 'nm0897884', 'nm1754514', 'nm0227119', 'nm2340175', 'nm1753285', 'nm0884131', 'nm2006186', 'nm1003816', 'nm2090106', 'nm0811973', 'nm0190780', 'nm0314480', 'nm0458312', 'nm3353568', 'nm0471233', 'nm0594134', 'nm0379747', 'nm0321167', 'nm0330856', 'nm1414808', 'nm0550578', 'nm0693933', 'nm0684919', 'nm0300756', 'nm0030651', 'nm0643798', 'nm0599315', 'nm0338537', 'nm0897267', 'nm0129325', 'nm0177532', 'nm0558520', 'nm0544595', 'nm0100326', 'nm0513526', 'nm0058799', 'nm0716366', 'nm0274905', 'nm1219811', 'nm0295125', 'nm1019655', 'nm0897860', 'nm0931642', 'nm1341733', 'nm1202354', 'nm0122836', 'nm0081142', 'nm0490102', 'nm0783889', 'nm0961152', 'nm0006825', 'nm0369292', 'nm0016141', 'nm0396935', 'nm0805150', 'nm0826425', 'nm0918955', 'nm1453801', 'nm0969581', 'nm6268134', 'nm1330608', 'nm0143320', 'nm0846444', 'nm3226600', 'nm0944034', 'nm1118365', 'nm2194111', 'nm0251550', 'nm0399611', 'nm0009248', 'nm1440551', 'nm0585062', 'nm0236421', 'nm1088324', 'nm6364336', 'nm0066313', 'nm0197351', 'nm6804749', 'nm1405698', 'nm0718686', 'nm0797076', 'nm0295321', 'nm5439401', 'nm1145513', 'nm1545967', 'nm0204444', 'nm0615718', 'nm0669657', 'nm0684989', 'nm0894890', 'nm0931223', 'nm1505636', 'nm0070255', 'nm0321782', 'nm1085475', 'nm8508276', 'nm3097587', 'nm8312116', 'nm0423715', 'nm0458313', 'nm2669830', 'nm0555658', 'nm0561630', 'nm0574509', 'nm0677956', 'nm0870607', 'nm8312151', 'nm0072913', 'nm0200061', 'nm1317673', 'nm3840714', 'nm1099603', 'nm0002511', 'nm0089668', 'nm9833298', 'nm1698564', 'nm4782957', 'nm9328811', 'nm0974301', 'nm0007208', 'nm0842391', 'nm0844214', 'nm0189485', 'nm6806397', 'nm6806396', 'nm6806395']
tt0103649	['nm0561255']	['nm8456710', 'nm0561255', 'nm1079896']
tt0111263	['nm0437912']	['\\N']
tt0116083	['nm0426678']	['nm0426678', 'nm0006670']
tt0127236	['nm0010799']	['\\N']
