tconst	parentTconst	seasonNumber	episodeNumber
tt0283221	tt0866639	2	4
tt0307017	tt0896232	\N	\N
tt0317724	tt0896232	\N	\N
tt0339205	tt0896232	\N	\N
tt0339206	tt0896232	\N	\N
tt0347251	tt0896232	\N	\N
tt0353557	tt0896232	\N	\N
tt0353560	tt0896232	\N	\N
tt0359480	tt0896232	\N	\N
tt0380449	tt0896232	\N	\N
tt0382756	tt0896232	\N	\N
tt0389037	tt0896232	\N	\N
tt0394775	tt0096641	\N	\N
tt0395322	tt0896232	\N	\N
tt0395323	tt0896232	\N	\N
tt0395324	tt0896232	\N	\N
tt0399199	tt0896232	\N	\N
tt0479077	tt0896232	\N	\N
tt0502271	tt0078558	2	1
tt0502279	tt0078558	1	4
tt0533995	tt0306867	\N	\N
tt0534227	tt0335632	\N	\N
tt0541964	tt0147756	1	6
tt0541965	tt0147756	3	5
tt0541966	tt0147756	3	8
tt0541967	tt0147756	3	7
tt0541969	tt0147756	3	2
tt0541970	tt0147756	2	12
tt0541971	tt0147756	1	10
tt0541972	tt0147756	3	1
tt0541973	tt0147756	2	8
tt0541974	tt0147756	3	4
tt0541975	tt0147756	3	6
tt0541976	tt0147756	2	1
tt0551448	tt0182568	6	9
tt0554957	tt0063890	2	157
tt0554962	tt0063890	2	200
tt0561062	tt0046593	4	2
tt0561426	tt0443368	2	13
tt0561435	tt0443368	2	8
tt0563207	tt0241383	1	20
tt0563772	tt0241383	1	19
tt0576893	tt0094460	\N	\N
tt0576894	tt0094460	\N	\N
tt0576895	tt0094460	1	171
tt0576896	tt0094460	\N	\N
tt0576897	tt0094460	1	106
tt0576898	tt0094460	\N	\N
tt0579910	tt0081863	2	22
tt0592461	tt0056761	1	24
tt0593852	tt0398553	1	3
tt0602877	tt0484803	1	1
tt0602878	tt0484803	1	10
tt0602879	tt0484803	1	11
tt0602880	tt0484803	1	12
tt0602881	tt0484803	1	13
tt0602882	tt0484803	1	14
tt0602883	tt0484803	1	2
tt0602884	tt0484803	1	4
