tconst	averageRating	numVotes
tt0050536	10.0	13.0
tt0056535	10.0	13.0
tt0061857	10.0	10.0
tt0103649	10.0	5.0
tt0111263	10.0	7.0
tt0116083	10.0	44.0
tt0127236	10.0	22.0
tt0132596	10.0	12.0
tt0140082	10.0	19.0
tt0160316	10.0	14.0
tt0162108	10.0	440.0
tt0176240	10.0	6.0
tt0183268	10.0	11.0
tt0193147	10.0	6.0
tt0223767	10.0	16.0
tt0236477	10.0	12.0
tt0237125	10.0	19.0
tt0237322	10.0	6.0
tt0258117	10.0	12.0
tt0270900	10.0	20.0
tt0270927	10.0	11.0
tt0281732	10.0	11.0
tt0295190	10.0	12.0
tt0299823	10.0	7.0
tt0300220	10.0	10.0
tt0300386	10.0	10.0
tt0301052	10.0	14.0
tt0301720	10.0	11.0
tt0302703	10.0	7.0
tt0303254	10.0	5.0
tt0307017	10.0	197.0
tt0317724	10.0	191.0
tt0323382	10.0	9.0
tt0323536	10.0	10.0
tt0324200	10.0	12.0
tt0333372	10.0	14.0
tt0334523	10.0	7.0
tt0335505	10.0	14.0
tt0336419	10.0	30.0
tt0339000	10.0	20.0
tt0339012	10.0	29.0
tt0339205	10.0	241.0
tt0339206	10.0	195.0
tt0343717	10.0	15.0
tt0343731	10.0	11.0
tt0344533	10.0	18.0
tt0347251	10.0	203.0
tt0349864	10.0	36.0
tt0350137	10.0	11.0
tt0352593	10.0	12.0
tt0352769	10.0	10.0
tt0353557	10.0	205.0
tt0353560	10.0	192.0
tt0353980	10.0	21.0
tt0355468	10.0	19.0
tt0358172	10.0	6.0
tt0359480	10.0	194.0
tt0363937	10.0	10.0
tt0380449	10.0	189.0
tt0382756	10.0	186.0
tt0389037	10.0	187.0
tt0393944	10.0	10.0
tt0394775	10.0	7.0
tt0395322	10.0	190.0
tt0395323	10.0	214.0
tt0395324	10.0	199.0
tt0399199	10.0	189.0
tt0400253	10.0	5.0
tt0402719	10.0	6.0
tt0404132	10.0	5.0
tt0411127	10.0	19.0
tt0416038	10.0	13.0
tt0421403	10.0	440.0
tt0432852	10.0	11.0
tt0438225	10.0	18.0
tt0440437	10.0	10.0
tt0443821	10.0	14.0
tt0445408	10.0	9.0
tt0448376	10.0	17.0
tt0448633	10.0	21.0
tt0456694	10.0	18.0
tt0457537	10.0	13.0
tt0458038	10.0	10.0
tt0461009	10.0	13.0
tt0467940	10.0	19.0
tt0473665	10.0	20.0
tt0473904	10.0	10.0
tt0477426	10.0	9.0
tt0479077	10.0	188.0
tt0483153	10.0	197.0
tt0483446	10.0	5.0
tt0487407	10.0	11.0
tt0488055	10.0	6.0
tt0488751	10.0	8.0
tt0498570	10.0	8.0
tt0499530	10.0	11.0
tt0502271	10.0	5.0
tt0502279	10.0	5.0
tt0533995	10.0	13.0
tt0534227	10.0	6.0
tt0541964	10.0	8.0
tt0541965	10.0	6.0
tt0541966	10.0	6.0
tt0541967	10.0	6.0
tt0541969	10.0	6.0
tt0541970	10.0	56.0
tt0541971	10.0	8.0
tt0541972	10.0	8.0
tt0541973	10.0	8.0
tt0541974	10.0	6.0
tt0541975	10.0	6.0
tt0541976	10.0	16.0
tt0551448	10.0	8.0
tt0554957	10.0	27.0
tt0554962	10.0	28.0
tt0561062	10.0	9.0
tt0561426	10.0	23.0
tt0561435	10.0	23.0
tt0563207	10.0	33.0
tt0563772	10.0	28.0
tt0579910	10.0	11.0
tt0592461	10.0	5.0
tt0593852	10.0	5.0
tt0602877	10.0	25.0
tt0602878	10.0	15.0
tt0602879	10.0	12.0
tt0602880	10.0	12.0
tt0602881	10.0	14.0
tt0602882	10.0	58.0
tt0602883	10.0	22.0
tt0602884	10.0	12.0
tt0602885	10.0	10.0
tt0602886	10.0	9.0
tt0602887	10.0	9.0
tt0602888	10.0	11.0
tt0602889	10.0	56.0
tt0611912	10.0	9.0
tt0613104	10.0	5.0
tt0614280	10.0	6.0
